Date,Actual_Sales,ARIMA_Forecast
2012-08-10,47403451.04,47008729.43782491
2012-08-17,47354452.05,47089561.32100453
2012-08-24,47447323.6,47135744.97701475
2012-08-31,47159639.43,47162132.21430984
2012-09-07,48330059.31,47177208.67971382
2012-09-14,44226038.65,47185822.68528537
2012-09-21,44354547.11,47190744.335685395
2012-09-28,43734899.4,47193556.34253389
2012-10-05,47566639.31,47195162.99515511
2012-10-12,46128514.25,47196080.963276945
2012-10-19,45122410.57,47196605.44844665
2012-10-26,45544116.29,47196905.11538137
