Date,Actual_Sales,SARIMA_Forecast,Lower_95_CI,Upper_95_CI
2012-08-10,47403451.04,46600358.81198414,43194045.60927826,50006672.01469001
2012-08-17,47354452.05,47292565.91620483,43763406.4086544,50821725.42375526
2012-08-24,47447323.6,47778517.09274819,44218140.059311084,51338894.1261853
2012-08-31,47159639.43,46107356.35238195,42538914.82861281,49675797.876151085
2012-09-07,48330059.31,47284433.24884675,43713899.84496539,50854966.6527281
2012-09-14,44226038.65,44810833.308102556,41239756.71057821,48381909.90562691
2012-09-21,44354547.11,43915897.54522456,40344679.85932593,47487115.231123194
2012-09-28,43734899.4,43481572.47317334,39910318.13857396,47052826.807772726
2012-10-05,47566639.31,47676575.32723668,44105311.47270333,51247839.18177004
2012-10-12,46128514.25,45305252.09688251,41733985.769421734,48876518.42434327
2012-10-19,45122410.57,46513016.41650217,42941749.446665354,50084283.38633898
2012-10-26,45544116.29,46544000.11636707,42972732.979664415,50115267.25306973
